name,tweet_volume_0427_2019_2015_usa-nyc,tweet_volume_0428_2019_0333_usa-nyc,tweet_volume_0428_2019_1759_usa-nyc,tweet_volume_0427_2019_1856_usa-nyc,tweet_volume_0427_2019_1858_usa-nyc,tweet_volume_0427_2019_1953_usa-nyc,tweet_volume_0427_2019_1904_usa-nyc,tweet_volume_0428_2019_1748_usa-nyc,tweet_volume_0427_2019_1917_usa-nyc,tweet_volume_0427_2019_1955_usa-nyc,sum,average
#AvengersEndgame,752707.0,700454.0,721585.0,797380.0,799554.0,783048.0,763323.0,716938.0,767611.0,785195.0,7587795.0,1379599.0909090908
#ThankYouAvengers,308465.0,432481.0,382066.0,283430.0,285283.0,304779.0,286829.0,381089.0,290661.0,306824.0,3261907.0,593074.0
PSOE,,,305526.0,,,,,294390.0,,,599916.0,399944.0
#Endgame,173089.0,164006.0,,183674.0,184162.0,180235.0,175396.0,,176482.0,180702.0,1417746.0,315054.6666666667
Poway,152630.0,,,99137.0,103640.0,141880.0,107912.0,,116131.0,145436.0,866766.0,216691.5
Giants,92686.0,,,97136.0,97600.0,96339.0,92931.0,,93775.0,96667.0,667134.0,166783.5
Celtics,,,120305.0,,,,,119305.0,,,239610.0,159740.0
Jones,,,,95148.0,95518.0,,90779.0,,,,281445.0,140722.5
De Gea,,,104931.0,,,,,104420.0,,,209351.0,139567.33333333334
Spurs,,126071.0,,,,,,,,,126071.0,126071.0
Bucks,,,82739.0,,,,,82216.0,,,164955.0,109970.0
Kawhi,,96790.0,,,,,,,,,96790.0,96790.0
Giannis,,,64499.0,,,,,64048.0,,,128547.0,85698.0
Chabad,59121.0,,,40616.0,41907.0,55076.0,43216.0,,46037.0,56322.0,342295.0,85573.75
Harden,,,63316.0,,,,,59044.0,,,122360.0,81573.33333333333
#NBAPlayoffs,,36466.0,59669.0,,,,,58751.0,,,154886.0,77443.0
#BattleOfWinterfell,,,55745.0,,,,,49934.0,,,105679.0,70452.66666666667
#SundayThoughts,,,37392.0,,,,,37083.0,,,74475.0,49650.0
#JackStopTheHate,,,36043.0,,,,,35413.0,,,71456.0,47637.333333333336
AR-15,,41286.0,,,,,,,,,41286.0,41286.0
Klay,,,31180.0,,,,,30063.0,,,61243.0,40828.666666666664
Larson,,,32408.0,,,,,,,,32408.0,32408.0
#OrganizeWithBernie,,,,17464.0,17593.0,19128.0,17647.0,,18019.0,,89851.0,29950.333333333332
Thompson,,,,,,,,29763.0,,,29763.0,29763.0
Daniel Jones,15806.0,,,,,17539.0,,,17170.0,17577.0,68092.0,27236.8
#UFCFtLauderdale,,25993.0,,,,,,,,,25993.0,25993.0
#RESOLUTION,13312.0,23190.0,17716.0,,10114.0,12622.0,10297.0,17723.0,11168.0,12830.0,128972.0,25794.4
Al Horford,,,19214.0,,,,,19052.0,,,38266.0,25510.666666666668
#wetheLGBTQ,,,17531.0,,,,,17215.0,,,34746.0,23164.0
#SundayFunday,,,17046.0,,,,,16792.0,,,33838.0,22558.666666666668
#NationalSuperheroDay,,,16404.0,,,,,16057.0,,,32461.0,21640.666666666668
Tree of Life,14333.0,,,,,13281.0,,,10657.0,13669.0,51940.0,20776.0
#WHCD,,19742.0,,,,,,,,,19742.0,19742.0
#NASCAR,,,15323.0,,,,,14076.0,,,29399.0,19599.333333333332
UDFA,11987.0,,,,,10946.0,,,,11307.0,34240.0,17120.0
#IndependentBookstoreDay,,,,12136.0,12229.0,,,,,,24365.0,16243.333333333334
Cass,,15670.0,,,,,,,,,15670.0,15670.0
#GEICO500,,,11901.0,,,,,10675.0,,,22576.0,15050.666666666666
DeRozan,,13795.0,,,,,,,,,13795.0,13795.0
Jokic,,13365.0,,,,,,,,,13365.0,13365.0
Ron Chernow,,12969.0,,,,,,,,,12969.0,12969.0
